@relation sms_test

@attribute spamclass {spam,mail}
@attribute text String

@data
mail,'Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola'
mail,'Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy'
spam,'07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow'
mail,'WHO ARE YOU SEEING?'
mail,'Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...'
mail,'No calls..messages..missed calls'
mail,'Didn\'t you get hep b immunisation in nigeria.'
mail,'Fair enough, anything going on?'
mail,'Yeah hopefully, if tyler can\'t do it I could maybe ask around a bit'
mail,'U don\'t know how stubborn I am. I didn\'t even want to go to the hospital. I kept telling Mark I\'m not a weak sucker. Hospitals are for weak suckers.'
mail,'What you thinked about me. First time you saw me in class.'
mail,'A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;'
mail,'K fyi x has a ride early tomorrow morning but he\'s crashing at our place tonight'
mail,'Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about "the cave". I\'m sorry I didn\'t and don\'t have more to give. I\'m sorry i offered. I\'m sorry your room was so embarassing.'
spam,'SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV'
mail,'Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;'
spam,'Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ‘
mail,'Sorry, I\'ll call later in meeting.'
mail,'Tell where you reached'
mail,'Yes..gauti and sehwag out of odi series.'
mail,'Your gonna have to pick up a $1 burger for yourself on your way home. I can\'t even move. Pain is killing me.'
mail,'Ha ha ha good joke. Girls are situation seekers.'
mail,'Its a part of checking IQ'
mail,'Sorry my roommates took forever, it ok if I come by now?'
mail,'Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.'
spam,'As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589'
mail,'Today is "song dedicated day.." Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...'
spam,'Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ'
spam,'Did you hear about the new "Divorce Barbie"? It comes with all of Ken\'s stuff!'
mail,'I plane to give on this month end.'
mail,'Wah lucky man... Then can save money... Hee...'
mail,'Finished class where are you.'
mail,'HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX'
mail,'K..k:)where are you?how did you performed?'
mail,'U can call me now...'
mail,'I am waiting machan. Call me once you free.'
mail,'Thats cool. i am a gentleman and will treat you with dignity and respect.'
mail,'I like you peoples very much:) but am very shy pa.'
mail,'Does not operate after  &lt;#&gt;  or what'
mail,'Its not the same here. Still looking for a job. How much do Ta\'s earn there.'
mail,'Sorry, I\'ll call later'
mail,'K. Did you call me just now ah? ‘
mail,'Ok i am on the way to home hi hi'
mail,'You will be in the place of that man'
mail,'Yup next stop.'
mail,'I call you later, don\'t have network. If urgnt, sms me.'
mail,'For real when u getting on yo? I only need 2 more tickets and one more jacket and I\'m done. I already used all my multis.'
mail,'Yes I started to send requests to make it but pain came back so I\'m back in bed. Double coins at the factory too. I gotta cash in all my nitros.'
mail,'I\'m really not up to it still tonight babe'
mail,'Ela kano.,il download, come wen ur free..'
mail,'Yeah do! Don\'t stand to close tho- you\'ll catch something!'
mail,'Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven\'t done any of y stuff42moro and that includes all my time sheets and that. Sorry. ‘
mail,'Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!'
spam,'Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!'
mail,'Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?'
spam,'Your free ringtone is waiting to be collected. Simply text the password "MIX" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16'
mail,'Watching telugu movie..wat abt u?'
mail,'i see. When we finish we have loads of loans to pay'
mail,'Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"‘
mail,'I see a cup of coffee animation'
mail,'Please don\'t text me anymore. I have nothing else to say.'
mail,'Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx'
mail,'I\'m still looking for a car to buy. And have not gone 4the driving test yet.'
mail,'As per your request \'Melle Melle (Oru Minnaminunginte Nurungu Vettam)\' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune'
mail,'wow. You\'re right! I didn\'t mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.'
mail,'Umma my life and vava umma love you lot dear'
mail,'Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.'
mail,'Aight, I\'ll hit you up when I get some cash'
mail,'How would my ip address test that considering my computer isn\'t a minecraft server'
mail,'I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...'
mail,'Dont worry. I guess he\'s busy.'
mail,'What is the plural of the noun research?'
mail,'Going for dinner.msg you after.'
mail,'I\'m ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.'
spam,'GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm'
mail,'Wa, ur openin sentence very formal... Anyway, i\'m fine too, juz tt i\'m eatin too much n puttin on weight...Haha... So anythin special happened?'
mail,'As I entered my cabin my PA said, \'\' Happy B\'day Boss !!\'\'. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.'
spam,'You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ‘
mail,'Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ‘
mail,'Hmm...my uncle just informed me that he\'s paying the school directly. So pls buy food.'
spam,'PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires'
spam,'URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM'
mail,'here is my new address -apples&pairs&all that malarky'
spam,'Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app'
mail,'I am going to sao mu today. Will be done only at 12 ‘
mail,'Ü predict wat time ü\'ll finish buying?'
mail,'Good stuff, will do.'
mail,'Just so that you know,yetunde hasn\'t sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn\'t have imposed anything on you in the first place so for that, i apologise.'
mail,'Are you there in room.'
mail,'HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx'
mail,'K..k:)how much does it cost?'
mail,'I\'m home.'
mail,'Dear, will call Tmorrow.pls accomodate.'
mail,'First answer my question.'
spam,'Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone'
spam,'Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK\'s largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p'
mail,'I only haf msn. It\'s yijue@hotmail.com'
mail,'He is there. You call and meet him'
mail,'No no. I will check all rooms befor activities'
spam,'You\'ll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again'
mail,'Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...'
mail,'K, text me when you\'re on the way'
mail,'Sir, Waiting for your mail.'
mail,'A swt thought: "Nver get tired of doing little things 4 lovable persons.." Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8'
mail,'I know you are. Can you pls open the back?'
mail,'Yes see ya not on the dot'
mail,'Whats the staff name who is taking class for us?'
spam,'FreeMsg Why haven\'t you replied to my text? I\'m Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end'
mail,'Ummma.will call after check in.our life will begin from qatar so pls pray very hard.'
mail,'K..i deleted my contact that why?'
mail,'Sindu got job in birla soft ..'
mail,'The wine is flowing and i\'m i have nevering..'
mail,'Yup i thk cine is better cos no need 2 go down 2 plaza mah.'
mail,'Ok... Ur typical reply...'
mail,'As per your request \'Melle Melle (Oru Minnaminunginte Nurungu Vettam)\' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune'
mail,'You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.'
mail,'Aaooooright are you at work?'
mail,'I\'m leaving my house now...'
mail,'Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?'
spam,'Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery'
spam,'You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810'
mail,'Keep yourself safe for me because I need you and I miss you already and I envy everyone that see\'s you in real life'
mail,'New car and house for my parents.:)i have only new job in hand:)'
mail,'I\'m so in love with you. I\'m excited each day i spend with you. You make me so happy.'
spam,'-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468'
spam,'BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu'
mail,'I place all ur points on e cultures module already.'
spam,'URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only'
mail,'Hi frnd, which is best way to avoid missunderstding wit our beloved one\'s?'
mail,'Great escape. I fancy the bridge but needs her lager. See you tomo ‘
mail,'Yes :)it completely in out of form:)clark also utter waste.'
mail,'Sir, I need AXIS BANK account no and bank address.'
mail,'Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ‘
mail,'What time you coming down later? ‘
mail,'Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ‘
mail,'Well, i\'m gonna finish my bath now. Have a good...fine night.'
mail,'Let me know when you\'ve got the money so carlos can make the call'
mail,'U still going to the mall?'
mail,'Turns out my friends are staying for the whole show and won\'t be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth'
mail,'Text her. If she doesnt reply let me know so i can have her log in'
mail,'Hi! You just spoke to MANEESHA V. We\'d like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.'
mail,'You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend'
mail,'Lol no. U can trust me.'
mail,'ok. I am a gentleman and will treat you with dignity and respect.'
mail,'He will, you guys close?'
mail,'Going on nothing great.bye'
mail,'Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where\'s my boytoy now ? Does he miss me ?'
mail,'Haha awesome, be there in a minute'
spam,'Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!'
mail,'Have you got Xmas radio times. If not i will get it now'
mail,'I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...'
spam,'Are you unique enough? Find out from 30th August. www.areyouunique.co.uk'
mail,'I\'m sorry. I\'ve joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|'
mail,'Hi :)finally i completed the course:)'
mail,'It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.'
mail,'How are you doing? Hope you\'ve settled in for the new school year. Just wishin you a gr8 day'
mail,'Gud mrng dear hav a nice day'
mail,'Did u got that persons story'
mail,'is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ‘
mail,'Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx'
